TimeStamp,Btlinkid,FreeFlowTime,TrafficTime,Distance
2019-08-17T05:01:10Z,1018110021,136,158,1585
2019-08-17T05:02:10Z,1018110021,136,175,1585
2019-08-17T05:03:10Z,1018110021,136,175,1585
2019-08-17T05:04:10Z,1018110021,136,168,1585
2019-08-17T05:05:10Z,1018110021,136,178,1585
2019-08-17T05:06:10Z,1018110021,136,180,1585
2019-08-17T05:07:11Z,1018110021,136,178,1585
2019-08-17T05:08:10Z,1018110021,136,178,1585
2019-08-17T05:09:10Z,1018110021,136,180,1585
2019-08-17T05:10:10Z,1018110021,136,151,1585
2019-08-17T05:11:10Z,1018110021,136,149,1585
2019-08-17T05:12:10Z,1018110021,136,153,1585
2019-08-17T05:13:10Z,1018110021,136,154,1585
2019-08-17T05:14:10Z,1018110021,136,163,1585
2019-08-17T05:15:10Z,1018110021,136,168,1585
2019-08-17T05:16:11Z,1018110021,136,164,1585
2019-08-17T05:17:10Z,1018110021,136,164,1585
2019-08-17T05:18:10Z,1018110021,136,164,1585
2019-08-17T05:19:11Z,1018110021,136,153,1585
2019-08-17T05:20:11Z,1018110021,136,153,1585
2019-08-17T05:21:10Z,1018110021,136,153,1585
2019-08-17T05:22:10Z,1018110021,136,146,1585
2019-08-17T05:23:10Z,1018110021,136,149,1585
2019-08-17T05:24:10Z,1018110021,136,152,1585
2019-08-17T05:25:10Z,1018110021,136,152,1585
2019-08-17T05:26:10Z,1018110021,136,151,1585
2019-08-17T05:27:11Z,1018110021,136,151,1585
2019-08-17T05:28:10Z,1018110021,136,151,1585
2019-08-17T05:29:10Z,1018110021,136,148,1585
2019-08-17T05:30:10Z,1018110021,136,149,1585
2019-08-17T05:31:10Z,1018110021,136,146,1585
2019-08-17T05:32:10Z,1018110021,136,145,1585
2019-08-17T05:33:10Z,1018110021,136,145,1585
2019-08-17T05:34:10Z,1018110021,136,147,1585
2019-08-17T05:35:10Z,1018110021,136,147,1585
2019-08-17T05:36:10Z,1018110021,136,147,1585
2019-08-17T05:37:10Z,1018110021,136,151,1585
2019-08-17T05:38:10Z,1018110021,136,151,1585
2019-08-17T05:39:11Z,1018110021,136,137,1585
2019-08-17T05:40:10Z,1018110021,136,137,1585
2019-08-17T05:41:10Z,1018110021,136,163,1585
2019-08-17T05:42:10Z,1018110021,136,163,1585
2019-08-17T05:43:10Z,1018110021,136,159,1585
2019-08-17T05:44:10Z,1018110021,136,146,1585
2019-08-17T05:45:10Z,1018110021,136,146,1585
2019-08-17T05:46:10Z,1018110021,136,148,1585
2019-08-17T05:47:10Z,1018110021,136,151,1585
2019-08-17T05:48:10Z,1018110021,136,151,1585
2019-08-17T05:49:10Z,1018110021,136,152,1585
2019-08-17T05:50:11Z,1018110021,136,150,1585
2019-08-17T05:51:10Z,1018110021,136,149,1585
2019-08-17T05:52:10Z,1018110021,136,149,1585
2019-08-17T05:53:10Z,1018110021,136,149,1585
2019-08-17T05:54:10Z,1018110021,136,149,1585
2019-08-17T05:55:10Z,1018110021,136,147,1585
2019-08-17T05:56:10Z,1018110021,136,147,1585
2019-08-17T05:57:10Z,1018110021,136,149,1585
2019-08-17T05:58:10Z,1018110021,136,149,1585
2019-08-17T05:59:10Z,1018110021,136,147,1585
2019-08-17T06:00:10Z,1018110021,136,148,1585
2019-08-17T06:01:10Z,1018110021,136,148,1585
2019-08-17T06:02:10Z,1018110021,136,146,1585
2019-08-17T06:03:10Z,1018110021,136,148,1585
2019-08-17T06:04:10Z,1018110021,136,148,1585
2019-08-17T06:05:10Z,1018110021,136,147,1585
2019-08-17T06:06:10Z,1018110021,136,189,1585
2019-08-17T06:07:10Z,1018110021,136,186,1585
2019-08-17T06:08:10Z,1018110021,136,185,1585
2019-08-17T06:09:11Z,1018110021,136,186,1585
2019-08-17T06:10:10Z,1018110021,136,179,1585
2019-08-17T06:11:11Z,1018110021,136,179,1585
2019-08-17T06:12:11Z,1018110021,136,156,1585
2019-08-17T06:13:10Z,1018110021,136,162,1585
2019-08-17T06:14:10Z,1018110021,136,162,1585
2019-08-17T06:15:10Z,1018110021,136,154,1585
2019-08-17T06:16:10Z,1018110021,136,157,1585
2019-08-17T06:17:10Z,1018110021,136,162,1585
2019-08-17T06:18:10Z,1018110021,136,154,1585
2019-08-17T06:19:10Z,1018110021,136,147,1585
2019-08-17T06:20:10Z,1018110021,136,171,1585
2019-08-17T06:21:10Z,1018110021,136,171,1585
2019-08-17T06:22:10Z,1018110021,136,175,1585
2019-08-17T06:23:11Z,1018110021,136,174,1585
2019-08-17T06:24:10Z,1018110021,136,174,1585
2019-08-17T06:25:10Z,1018110021,136,182,1585
2019-08-17T06:26:10Z,1018110021,136,182,1585
2019-08-17T06:27:10Z,1018110021,136,173,1585
2019-08-17T06:28:10Z,1018110021,136,177,1585
2019-08-17T06:29:10Z,1018110021,136,177,1585
2019-08-17T06:30:10Z,1018110021,136,168,1585
2019-08-17T06:31:11Z,1018110021,136,167,1585
2019-08-17T06:32:10Z,1018110021,136,169,1585
2019-08-17T06:33:11Z,1018110021,136,167,1585
2019-08-17T06:34:11Z,1018110021,136,164,1585
2019-08-17T06:35:10Z,1018110021,136,168,1585
2019-08-17T06:36:10Z,1018110021,136,147,1585
2019-08-17T06:37:11Z,1018110021,136,145,1585
2019-08-17T06:38:10Z,1018110021,136,145,1585
2019-08-17T06:39:10Z,1018110021,136,149,1585
2019-08-17T06:40:11Z,1018110021,136,164,1585
2019-08-17T06:41:11Z,1018110021,136,168,1585
2019-08-17T06:42:10Z,1018110021,136,168,1585
2019-08-17T06:43:10Z,1018110021,136,165,1585
2019-08-17T06:44:11Z,1018110021,136,165,1585
2019-08-17T06:45:10Z,1018110021,136,168,1585
2019-08-17T06:46:11Z,1018110021,136,165,1585
2019-08-17T06:47:10Z,1018110021,136,165,1585
2019-08-17T06:48:10Z,1018110021,136,168,1585
2019-08-17T06:49:10Z,1018110021,136,164,1585
2019-08-17T06:50:10Z,1018110021,136,156,1585
2019-08-17T06:51:11Z,1018110021,136,159,1585
2019-08-17T06:52:10Z,1018110021,136,160,1585
2019-08-17T06:53:11Z,1018110021,136,154,1585
2019-08-17T06:54:10Z,1018110021,136,173,1585
2019-08-17T06:55:10Z,1018110021,136,171,1585
2019-08-17T06:56:11Z,1018110021,136,176,1585
2019-08-17T06:57:10Z,1018110021,136,183,1585
2019-08-17T06:58:10Z,1018110021,136,180,1585
2019-08-17T06:59:10Z,1018110021,136,173,1585
2019-08-17T07:00:11Z,1018110021,136,173,1585
2019-08-17T07:01:11Z,1018110021,136,175,1585
2019-08-17T07:02:10Z,1018110021,136,176,1585
2019-08-17T07:03:10Z,1018110021,136,171,1585
2019-08-17T07:04:10Z,1018110021,136,173,1585
2019-08-17T07:05:10Z,1018110021,136,155,1585
2019-08-17T07:06:10Z,1018110021,136,175,1585
2019-08-17T07:07:10Z,1018110021,136,186,1585
2019-08-17T07:08:10Z,1018110021,136,170,1585
2019-08-17T07:09:11Z,1018110021,136,184,1585
2019-08-17T07:10:11Z,1018110021,136,179,1585
2019-08-17T07:11:10Z,1018110021,136,181,1585
2019-08-17T07:12:10Z,1018110021,136,184,1585
2019-08-17T07:13:11Z,1018110021,136,177,1585
2019-08-17T07:14:10Z,1018110021,136,157,1585
2019-08-17T07:15:11Z,1018110021,136,144,1585
2019-08-17T07:16:11Z,1018110021,136,144,1585
2019-08-17T07:17:10Z,1018110021,136,152,1585
2019-08-17T07:18:10Z,1018110021,136,153,1585
2019-08-17T07:19:10Z,1018110021,136,154,1585
2019-08-17T07:20:10Z,1018110021,136,163,1585
2019-08-17T07:21:11Z,1018110021,136,161,1585
2019-08-17T07:22:10Z,1018110021,136,154,1585
2019-08-17T07:23:10Z,1018110021,136,165,1585
2019-08-17T07:24:11Z,1018110021,136,157,1585
2019-08-17T07:25:10Z,1018110021,136,181,1585
2019-08-17T07:26:10Z,1018110021,136,182,1585
2019-08-17T07:27:10Z,1018110021,136,177,1585
2019-08-17T07:28:10Z,1018110021,136,159,1585
2019-08-17T07:29:11Z,1018110021,136,165,1585
2019-08-17T07:30:10Z,1018110021,136,165,1585
2019-08-17T07:31:10Z,1018110021,136,162,1585
2019-08-17T07:32:10Z,1018110021,136,159,1585
2019-08-17T07:33:11Z,1018110021,136,163,1585
2019-08-17T07:34:10Z,1018110021,136,163,1585
2019-08-17T07:35:10Z,1018110021,136,167,1585
2019-08-17T07:36:10Z,1018110021,136,168,1585
2019-08-17T07:37:11Z,1018110021,136,157,1585
2019-08-17T07:38:11Z,1018110021,136,154,1585
2019-08-17T07:39:10Z,1018110021,136,154,1585
2019-08-17T07:40:11Z,1018110021,136,156,1585
2019-08-17T07:41:10Z,1018110021,136,163,1585
2019-08-17T07:42:10Z,1018110021,136,146,1585
2019-08-17T07:43:10Z,1018110021,136,153,1585
2019-08-17T07:44:10Z,1018110021,136,153,1585
2019-08-17T07:45:11Z,1018110021,136,152,1585
2019-08-17T07:46:10Z,1018110021,136,150,1585
2019-08-17T07:47:10Z,1018110021,136,143,1585
2019-08-17T07:48:10Z,1018110021,136,164,1585
2019-08-17T07:49:10Z,1018110021,136,164,1585
2019-08-17T07:50:10Z,1018110021,136,166,1585
2019-08-17T07:51:10Z,1018110021,136,165,1585
2019-08-17T07:52:10Z,1018110021,136,165,1585
2019-08-17T07:53:10Z,1018110021,136,173,1585
2019-08-17T07:54:10Z,1018110021,136,173,1585
2019-08-17T07:55:10Z,1018110021,136,177,1585
2019-08-17T07:56:10Z,1018110021,136,157,1585
2019-08-17T07:57:11Z,1018110021,136,157,1585
2019-08-17T07:58:10Z,1018110021,136,161,1585
2019-08-17T07:59:11Z,1018110021,136,164,1585
2019-08-17T08:00:10Z,1018110021,136,164,1585
2019-08-17T08:01:11Z,1018110021,136,157,1585
2019-08-17T08:02:11Z,1018110021,136,167,1585
2019-08-17T08:03:10Z,1018110021,136,171,1585
2019-08-17T08:04:10Z,1018110021,136,169,1585
2019-08-17T08:05:11Z,1018110021,136,162,1585
2019-08-17T08:06:11Z,1018110021,136,176,1585
2019-08-17T08:07:11Z,1018110021,136,179,1585
2019-08-17T08:08:10Z,1018110021,136,182,1585
2019-08-17T08:09:11Z,1018110021,136,182,1585
2019-08-17T08:10:11Z,1018110021,136,177,1585
2019-08-17T08:11:10Z,1018110021,136,208,1585
2019-08-17T08:12:10Z,1018110021,136,208,1585
2019-08-17T08:13:10Z,1018110021,136,200,1585
2019-08-17T08:14:11Z,1018110021,136,182,1585
2019-08-17T08:15:10Z,1018110021,136,182,1585
2019-08-17T08:16:10Z,1018110021,136,192,1585
2019-08-17T08:17:11Z,1018110021,136,172,1585
2019-08-17T08:18:10Z,1018110021,136,160,1585
2019-08-17T08:19:11Z,1018110021,136,162,1585
2019-08-17T08:20:10Z,1018110021,136,167,1585
2019-08-17T08:21:10Z,1018110021,136,166,1585
2019-08-17T08:22:10Z,1018110021,136,168,1585
2019-08-17T08:23:10Z,1018110021,136,145,1585
2019-08-17T08:24:11Z,1018110021,136,145,1585
2019-08-17T08:25:10Z,1018110021,136,140,1585
2019-08-17T08:26:11Z,1018110021,136,140,1585
2019-08-17T08:27:10Z,1018110021,136,137,1585
2019-08-17T08:28:11Z,1018110021,136,139,1585
2019-08-17T08:29:11Z,1018110021,136,139,1585
2019-08-17T08:30:11Z,1018110021,136,155,1585
2019-08-17T08:31:11Z,1018110021,136,151,1585
2019-08-17T08:32:11Z,1018110021,136,155,1585
2019-08-17T08:33:11Z,1018110021,136,155,1585
2019-08-17T08:34:11Z,1018110021,136,155,1585
2019-08-17T08:35:10Z,1018110021,136,155,1585
2019-08-17T08:36:10Z,1018110021,136,155,1585
2019-08-17T08:37:10Z,1018110021,136,151,1585
2019-08-17T08:38:11Z,1018110021,136,167,1585
2019-08-17T08:39:10Z,1018110021,136,193,1585
2019-08-17T08:40:10Z,1018110021,136,196,1585
2019-08-17T08:41:11Z,1018110021,136,196,1585
2019-08-17T08:42:11Z,1018110021,136,169,1585
